group,group_title,name,type,default,scope,consistency,aliases,deprecated,deprecated_message,const,description
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.metadata.refresh.ahead.margin.ms,duration,"""15s""",CLIENT,WARN,,,,USER_FILE_METADATA_REFRESH_AHEAD_MARGIN_MS,"The time margin between when to refresh a file's metadata and when the snapshot of the file's metadata expires. The ahead-of-time refresh will reduce the chance when the snapshot has not yet expired, but is very close to expiry, and will probably expire considering the network delay and queuing times, etc. when a request is processed by the worker."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.metadata.sync.interval,duration,"""-1""",CLIENT,WARN,,,,USER_FILE_METADATA_SYNC_INTERVAL,"The interval for syncing UFS metadata before invoking an operation on a path. -1 means no sync will occur. 0 means Alluxio will always sync the metadata of the path before an operation. If you specify a time interval, Alluxio will (best effort) not re-sync a path within that time interval. Syncing the metadata for a path must interact with the UFS, so it is an expensive operation. If a sync is performed for an operation, the configuration of ""alluxio.user.file.metadata.load.type"" will be ignored."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.passive.cache.enabled,boolean,false,CLIENT,WARN,alluxio.worker.s3.async.passive.cache.enabled,,,USER_FILE_PASSIVE_CACHE_ENABLED,Whether to cache files to local Alluxio workers when the files are read from remote workers (not UFS).
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.persist.on.rename,boolean,false,CLIENT,,,,,USER_FILE_PERSIST_ON_RENAME,Whether or not to asynchronously persist any files which have been renamed. This is helpful when working with compute frameworks which use rename to commit results.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.persistence.initial.wait.time,duration,"""0""",CLIENT,,,,,USER_FILE_PERSISTENCE_INITIAL_WAIT_TIME,"Time to wait before starting the persistence job. When the value is set to -1, the file will be persisted by rename operation or persist CLI but will not be automatically persisted in other cases. This is to avoid the heavy object copy in rename operation when %s is set to %s. This value should be smaller than the value of %s"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.readtype.default,enum,ReadType.CACHE,CLIENT,,,,,USER_FILE_READ_TYPE_DEFAULT,"Default read type when creating Alluxio files. Valid options are `CACHE_PROMOTE` (move data to highest tier if already in Alluxio storage, write data into highest tier of local Alluxio if data needs to be read from under storage), `CACHE` (write data into highest tier of local Alluxio if data needs to be read from under storage), `NO_CACHE` (no data interaction with Alluxio, if the read is from Alluxio data migration or eviction will not occur)."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.replication.durable,int,1,CLIENT,,,,,USER_FILE_REPLICATION_DURABLE,The target replication level of a file created by ASYNC_THROUGH writesbefore this file is persisted.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.replication.max,int,-1,CLIENT,,,,,USER_FILE_REPLICATION_MAX,The target max replication level of a file in Alluxio space. Setting this property to a negative value means no upper limit.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.replication.min,int,1,CLIENT,,,,,USER_FILE_REPLICATION_MIN,The target min replication level of a file in Alluxio space.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.reserved.bytes,dataSize,"format(""${%s}"", Name.USER_BLOCK_SIZE_BYTES_DEFAULT)",CLIENT,WARN,,,,USER_FILE_RESERVED_BYTES,The size to reserve on workers for file system writes.Using smaller value will improve concurrency for writes smaller than block size.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.segment.enabled,boolean,false,ALL,,alluxio.dora.file.segment.read.enabled,,,USER_FILE_SEGMENT_ENABLED,"Whether to enabled segmented read of files, possibly from multiple workers. If enabled, read requests will be split into segments, and data is pulled from multiple workers. Note this currently only works with read-only workloads."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.segment.size,dataSize,"""1GB""",ALL,,alluxio.dora.file.segment.size,,,USER_FILE_SEGMENT_SIZE,"Size of a file segment that will be cached and read independently on multiple workers. Note for a given file, all clients must agree on a common segment size, otherwise they will make incompatible decisions about where to store and retrieve the segments of the file. Segment size should be a multiplier of"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.set.attribute.noop.enabled,boolean,false,CLIENT,IGNORE,,,,USER_FILE_SET_ATTRIBUTE_NOOP_ENABLED,"If enabled, setAttribute acts as noop. As some UFS don't support setAttribute operation, enable this configuration to avoid exception."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.target.media,string,,CLIENT,,,,,USER_FILE_TARGET_MEDIA,Preferred media type while storing file's blocks.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.waitcompleted.poll,duration,"""1sec""",CLIENT,WARN,alluxio.user.file.waitcompleted.poll.ms,,,USER_FILE_WAITCOMPLETED_POLL_MS,The time interval to poll a file for its completion status when using waitCompleted.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.write.init.max.duration,duration,"""2min""",CLIENT,,,,,USER_FILE_WRITE_INIT_MAX_DURATION,"Controls how long to retry initialization of a file write, when Alluxio workers are required but not ready."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.write.tier.default,int,Constants.FIRST_TIER,CLIENT,WARN,,,,USER_FILE_WRITE_TIER_DEFAULT,"The default tier for choosing a where to write a block. Valid option is any integer. Non-negative values identify tiers starting from top going down (0 identifies the first tier, 1 identifies the second tier, and so on). If the provided value is greater than the number of tiers, it identifies the last tier. Negative values identify tiers starting from the bottom going up (-1 identifies the last tier, -2 identifies the second to last tier, and so on). If the absolute value of the provided value is greater than the number of tiers, it identifies the first tier."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.file.writetype.default,enum,WriteType.THROUGH,CLIENT,WARN,,,,USER_FILE_WRITE_TYPE_DEFAULT,"Default write type when creating Alluxio files. Valid options are `CACHE_THROUGH` (try to cache, write to UnderFS synchronously), `THROUGH` (no cache, write to UnderFS synchronously)"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.get.preferred.workers.from.presto.enabled,boolean,false,CLIENT,IGNORE,,,,USER_GET_PREFERRED_WORKERS_FROM_PRESTO_ENABLED,"If enabled, the getFileBlockLocations in FileSystemEE will return the preferred presto workers by consistent hash algorithm given the exact file path."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.hdfs.client.exclude.mount.info.on.list.status,boolean,false,CLIENT,IGNORE,,,,USER_HDFS_CLIENT_EXCLUDE_MOUNT_INFO_ON_LIST_STATUS,"If enabled, the mount info will be excluded from the response when a HDFS client calls alluxio to list status on a directory."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.hostname,string,,CLIENT,WARN,,,,USER_HOSTNAME,The hostname to use for an Alluxio client.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.multiplexed.worker.client.enabled,boolean,true,CLIENT,IGNORE,,,,USER_MULTIPLEXED_WORKER_CLIENT_ENABLED,"When set to true, this property enables optimized gRPC communication between client and workers, leveraging gRPC built-in functions to multiplex connections and handle inactive resources."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.preload.data.enabled,boolean,false,CLIENT,IGNORE,,,,USER_POSITION_READER_PRELOAD_DATA_ENABLED,"If enabled, the client will ask worker to preload the following data from UFS, if it is not cached. Turning this on improves the cold read performance, but also might result in caching unused data."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.preload.data.file.size.threshold.max,dataSize,"""0""",CLIENT,IGNORE,,,,USER_POSITION_READER_PRELOAD_DATA_FILE_SIZE_THRESHOLD_MAX,The max file size threshold that triggers the worker data preload. 0 means no limit.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.preload.data.file.size.threshold.min,dataSize,"""2GiB""",CLIENT,IGNORE,alluxio.user.position.reader.preload.data.file.size.threshold,,,USER_POSITION_READER_PRELOAD_DATA_FILE_SIZE_THRESHOLD_MIN,The min file size threshold that triggers the worker data preload.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.preload.data.size,dataSize,"""256MiB""",CLIENT,IGNORE,,,,USER_POSITION_READER_PRELOAD_DATA_SIZE,The preload data size to load on worker.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.preload.dedup.cache.ttl,duration,"""10min""",CLIENT,IGNORE,,,,USER_POSITION_READER_PRELOAD_DEDUP_CACHE_TTL,The TTL for the user position reader preload dedup cache.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.streaming.async.prefetch.part.length,dataSize,"""4MiB""",CLIENT,IGNORE,alluxio.user.position.reader.streaming.fast.async.prefetch.part.length,,,USER_POSITION_READER_STREAMING_FAST_ASYNC_PREFETCH_PART_LENGTH,The file will be divided into many small parts and fetch asynchronously by different threads. This configuration is used to set the length of each part.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.streaming.async.prefetch.thread,int,64,CLIENT,IGNORE,alluxio.user.position.reader.streaming.fast.async.prefetch.thread,,,USER_POSITION_READER_STREAMING_FAST_ASYNC_PREFETCH_THREAD,The number of async prefetch thread. All streams will share these threads.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.streaming.slow.async.prefetch.part.length,dataSize,"""1MiB""",CLIENT,IGNORE,,,,USER_POSITION_READER_STREAMING_SLOW_ASYNC_PREFETCH_PART_LENGTH,The file will be divided into many small parts and fetch asynchronously by different threads. This configuration is used to set the length of each part for the slow pool.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.position.reader.streaming.slow.async.prefetch.thread,int,256,CLIENT,IGNORE,,,,USER_POSITION_READER_STREAMING_SLOW_ASYNC_PREFETCH_THREAD,The number of async prefetch thread. All streams will share these threads for the slow pool.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.presto.get.workers.interval,duration,"""5s""",CLIENT,IGNORE,,,,USER_PRESTO_GET_WORKERS_INTERVAL,Interval for requesting presto/trino coordinator's URI to get the active workers list. By default the interval is 5s.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.presto.uri.for.getting.workers,string,"""http://localhost:8080/v1/node""",CLIENT,IGNORE,,,,USER_PRESTO_URI_FOR_GETTING_WORKERS,This is the presto/trino coordinator's URI that is for requesting workers list.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.presto.uri.request.user,string,"""admin""",CLIENT,IGNORE,,,,USER_PRESTO_URI_REQUEST_USER,This is the user for requesting presto/trino coordinator's URI. User header is required in some presto/trino environment.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.replica.placement.rule.store.etcd.refresh.interval,duration,"""10s""",ALL,IGNORE,,,,USER_REPLICA_PLACEMENT_RULE_STORE_ETCD_REFRESH_INTERVAL,The refresh interval of etcd replica placement rule store
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.replica.prefer.cached.replicas,boolean,false,ALL,IGNORE,,,,USER_REPLICA_PREFER_CACHED_REPLICAS,"If enabled, clients will prefer replicas where file is cached than others"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.replica.prioritize.local.worker,boolean,false,ALL,ENFORCE,,,,USER_REPLICA_PRIORITIZE_LOCAL_WORKER,"If enabled, clients will first choose the worker which is deployed on the same node."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.replica.selection.policy,enum,ReplicaSelectionPolicy.RANDOM,ALL,ENFORCE,,,,USER_REPLICA_SELECTION_POLICY,The replica selection policy when replica count is specified.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.data.read.timeout,duration,"""3m""",CLIENT,WARN,alluxio.user.network.data.timeout.ms; alluxio.user.network.data.timeout; alluxio.user.streaming.data.timeout,,,USER_STREAMING_DATA_READ_TIMEOUT,"The maximum time for an Alluxio client to wait for a data response for read requests from Alluxio worker. Keep in mind that some streaming operations may take an unexpectedly long time, such as UFS io. In order to handle occasional slow operations, it is recommended for this parameter to be set to a large value, to avoid spurious timeouts."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.data.write.timeout,duration,"""3m""",CLIENT,WARN,,,,USER_STREAMING_DATA_WRITE_TIMEOUT,The maximum time for an Alluxio client to wait for when writing 1 chunk for block writes to an Alluxio worker. This value can be tuned to offset instability from the UFS.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.reader.buffer.size.messages,int,16,CLIENT,WARN,alluxio.user.network.reader.buffer.size.messages,,,USER_STREAMING_READER_BUFFER_SIZE_MESSAGES,"When a client reads from a remote worker, the maximum number of messages to buffer by the client. A message can be either a command response, a data chunk, or a gRPC stream event such as complete or error."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.reader.chunk.size.bytes,dataSize,"""1MiB""",CLIENT,WARN,alluxio.user.network.reader.chunk.size.bytes,,,USER_STREAMING_READER_CHUNK_SIZE_BYTES,"When a client reads from a remote worker, the maximum chunk size."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.reader.close.timeout,duration,"""5s""",CLIENT,WARN,,,,USER_STREAMING_READER_CLOSE_TIMEOUT,"The timeout to close a grpc streaming reader client. If too long, it may add delays to closing clients. If too short, the client will complete the close() before the server confirms the close()"
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.writer.buffer.size.messages,int,16,CLIENT,WARN,alluxio.user.network.writer.buffer.size.messages,,,USER_STREAMING_WRITER_BUFFER_SIZE_MESSAGES,"When a client writes to a remote worker, the maximum number of messages to buffer by the client. A message can be either a command response, a data chunk, or a gRPC stream event such as complete or error."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.writer.chunk.size.bytes,dataSize,"""1MiB""",CLIENT,WARN,alluxio.user.network.writer.chunk.size.bytes,,,USER_STREAMING_WRITER_CHUNK_SIZE_BYTES,"When a client writes to a remote worker, the maximum chunk size."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.writer.close.timeout,duration,"""30min""",CLIENT,WARN,alluxio.user.network.writer.close.timeout.ms; alluxio.user.network.writer.close.timeout,,,USER_STREAMING_WRITER_CLOSE_TIMEOUT,The timeout to close a writer client.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.writer.flush.timeout,duration,"""30min""",CLIENT,WARN,alluxio.user.network.writer.flush.timeout,,,USER_STREAMING_WRITER_FLUSH_TIMEOUT,The timeout to wait for flush to finish in a data writer.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.streaming.zerocopy.enabled,boolean,true,CLIENT,WARN,alluxio.user.network.zerocopy.enabled,,,USER_STREAMING_ZEROCOPY_ENABLED,Whether zero copy is enabled on client when processing data streams.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.ufs.block.location.all.fallback.enabled,boolean,true,CLIENT,WARN,,,,USER_UFS_BLOCK_LOCATION_ALL_FALLBACK_ENABLED,Whether to return all workers as block location if ufs block locations are not co-located with any Alluxio workers or is empty.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.ufs.block.read.concurrency.max,int,Integer.MAX_VALUE,CLIENT,WARN,,,,USER_UFS_BLOCK_READ_CONCURRENCY_MAX,The maximum concurrent readers for one UFS block on one Block Worker.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.ufs.client.metrics.enabled,boolean,false,ALL,WARN,,,,USER_UFS_CLIENT_METRICS_ENABLED,"(Experimental) If this is enabled, Alluxio will record the metrics foreach clients calls."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.update.file.accesstime.disabled,boolean,false,CLIENT,WARN,,,,USER_UPDATE_FILE_ACCESSTIME_DISABLED,"(Experimental) If this is enabled, the clients doesn't update file access time which may cause issues for some applications."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.upload.manager.concurrency,int,16,CLIENT,WARN,,,,UPLOAD_MANAGER_CONCURRENCY,Concurrency for asynchronously uploading to ufs from writeback cache.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.uri.fragment.ignored,boolean,false,,WARN,,,,USER_URI_FRAGMENT_IGNORED,Ignore the URI fragment when resolving paths. Used for compatibility with some applications like AWS GLUE.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.virtual.path.mapping.class,class,"""alluxio.client.file.virtualpath.RuleBasedPathMapping""",CLIENT,IGNORE,,,,USER_VIRTUAL_PATH_MAPPING_CLASS,The implementation class for path mapping.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.virtual.path.mapping.cross.ufs.buffer.size,int,64 * 1024,ALL,ENFORCE,,,,USER_VIRTUAL_PATH_MAPPING_CROSS_UFS_BUFFER_SIZE,Buffer size for each transferred and flushed data in cross ufs rename.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.virtual.path.mapping.enabled,boolean,false,CLIENT,IGNORE,,,,USER_VIRTUAL_PATH_MAPPING_ENABLED,Whether enable virtual path mapping.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.virtual.path.mapping.rule.file.path,string,"format(""${%s}/path_mapping.json"", Name.CONF_DIR)",CLIENT,IGNORE,,,,USER_VIRTUAL_PATH_MAPPING_RULE_FILE_PATH,"Rule file path, only used by RuleBasedPathMapping."
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.write.back.enabled,boolean,false,CLIENT,IGNORE,,,,USER_WRITE_BACK_ENABLED,Enable local writeback cache for configured paths.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.write.cache.asycn.page.store.file.persist.task.thread.number,int,64,CLIENT,,,,,WRITE_CACHE_ASYNC_PAGE_STORE_FILE_PERSIST_TASK_THREAD_NUMBER,The thread number of write cache async page store file persist task.
01-client-fs-io,客户端文件系统与读写路径,alluxio.user.write.cache.async.prefetch.enabled,boolean,false,CLIENT,,,,,WRITE_CACHE_ASYNC_PREFETCH_ENABLED,"If enabled, random access write cache streams prefetch data by asynchronous read-ahead operations with memory limits."
